id_campana,fecha,marca,vertical,pais,influencer,tier,plataforma,tipo_contenido,seguidores,fee_influencer_usd,costo_produccion_usd,paid_boost_usd,costo_total_usd,views,reach,likes,comments,shares,saves,link_clicks,conversiones,ingresos_usd,sentimiento_score
UGC-0100,2025-05-12,UrbanFit,Beauty,CL,MaraCreator,macro,TikTok,Challenge,1221711,5414.04,211.75,341.32,5967.11,632081,492888,43706,4589,7709,6804,3211,475,32892.64,0.821
UGC-0101,2025-05-13,UrbanFit,Food,CL,JotaMedia,mid,Instagram,Challenge,347219,2402.92,22.98,214.67,2640.56,86435,58514,4208,1038,1101,992,2445,222,2933.67,0.807
UGC-0102,2025-05-14,NovaSkin,Fitness,CL,MimoStudio,nano,TikTok,Tutorial,13884,108.64,97.39,504.94,710.97,6571,5317,124,36,32,26,288,40,2931.16,0.647
UGC-0103,2025-05-15,NovaSkin,Home,CL,NicoFlow,micro,Instagram,Review,97684,566.36,86.07,559.66,1212.09,41588,38001,975,185,266,312,1915,285,15989.01,0.544
UGC-0104,2025-05-16,BeatKitchen,Beauty,AR,KikeLab,micro,TikTok,Review,113625,492.95,218.7,130.31,841.97,64993,49616,6519,1662,1217,1187,1091,221,6058.33,0.798
UGC-0105,2025-05-17,CasaZen,Home,CL,RafaVids,mid,TikTok,UGC_Paid,352415,1900.66,138.87,38.71,2078.24,195548,173967,3747,1005,691,648,3085,214,10292.47,0.611
UGC-0106,2025-05-18,UrbanFit,Food,MX,SofiLab,macro,YouTube Shorts,Tutorial,1652552,7796.92,115.5,501.81,8414.23,155075,107783,9438,1715,2600,1493,1328,186,4898.98,0.886
UGC-0107,2025-05-19,CasaZen,Tech,CO,ValeTrend,mid,Instagram,Tutorial,358685,3906.31,154.2,194.72,4255.24,64974,43736,7344,1409,1443,1308,479,52,3652.91,0.89
UGC-0108,2025-05-20,CasaZen,Beauty,CO,DaniUX,micro,TikTok,Tutorial,96519,736.51,52.57,421.77,1210.85,48151,33403,1050,169,157,241,1681,162,13444.5,0.586
UGC-0109,2025-05-21,UrbanFit,Food,CO,MimoStudio,nano,TikTok,UGC_Organic,11731,324.9,87.35,69.62,481.87,6130,4003,676,111,131,101,170,24,1732.13,0.789
UGC-0110,2025-05-22,NovaSkin,Food,AR,MaraCreator,macro,TikTok,UGC_Paid,693945,6736.97,83.24,1191.59,8011.8,327536,272042,5276,816,612,1031,5336,710,53504.87,0.728
UGC-0111,2025-05-23,CasaZen,Food,CL,JotaMedia,mid,TikTok,Review,126848,2508.34,51.5,117.37,2677.21,26599,21386,346,90,58,60,622,84,1479.54,0.748
UGC-0112,2025-05-24,UrbanFit,Home,AR,RafaVids,mid,YouTube Shorts,UGC_Organic,398073,2887.41,44.18,70.48,3002.06,27929,24552,3706,809,651,713,253,42,2629.67,0.904
UGC-0113,2025-05-25,BeatKitchen,Tech,CL,NicoFlow,micro,Instagram,UGC_Organic,60870,315.66,34.9,212.47,563.03,32227,22188,3655,884,672,1070,695,12,853.45,0.825
UGC-0114,2025-05-26,UrbanFit,Fitness,CL,CataReels,nano,Instagram,Challenge,9467,169.49,241.12,349.89,760.51,3069,2868,92,10,17,22,62,7,111.96,0.758
UGC-0115,2025-05-27,GlowTech,Home,MX,DaniUX,micro,Instagram,UGC_Paid,58984,1120.66,205.47,96.85,1422.98,16059,11372,563,142,127,128,401,27,310.79,0.98
UGC-0116,2025-05-28,UrbanFit,Tech,AR,JotaMedia,mid,TikTok,UGC_Organic,329599,2957.39,170.65,62.02,3190.06,76480,54336,6254,1422,1713,1562,3753,198,14666.49,0.683
UGC-0117,2025-05-29,GlowTech,Food,CL,ValeTrend,mid,TikTok,Review,322361,2152.21,124.35,204.12,2480.68,56282,36995,3498,650,347,471,1953,244,17170.19,0.727
UGC-0118,2025-05-30,UrbanFit,Beauty,AR,SofiLab,macro,Instagram,Tutorial,573370,4378.46,22.42,554.87,11893.82,68499,52728,2883,446,333,571,2110,112,3314.23,0.962
UGC-0119,2025-05-31,GlowTech,Food,PE,AnaCrea,micro,Instagram,Challenge,22746,1091.23,86.08,147.9,1325.21,11883,10102,772,157,153,148,499,84,6020.57,0.796
UGC-0120,2025-06-01,BeatKitchen,Food,PE,NicoFlow,micro,YouTube Shorts,UGC_Organic,59257,515.77,75.93,572.01,1163.71,18853,13239,1207,290,247,210,570,91,1689.57,0.731
UGC-0121,2025-06-02,CasaZen,Beauty,CL,DaniUX,micro,Instagram,Tutorial,109087,334.27,212.92,313.81,860.99,41044,30360,522,126,87,120,633,138,6069.07,0.692
UGC-0122,2025-06-03,GlowTech,Food,PE,JotaMedia,mid,TikTok,Review,235838,1449.36,21.23,482.85,1953.44,135469,88998,12985,2183,2961,2986,7795,353,31650.89,0.866
UGC-0123,2025-06-04,UrbanFit,Home,CL,DaniUX,micro,TikTok,Challenge,56771,951.91,144.42,340.35,1436.68,18884,16491,2192,557,251,327,262,8,224.66,0.748
UGC-0124,2025-06-05,NovaSkin,Home,CL,AnaCrea,micro,Instagram,UGC_Organic,118390,1036.79,146.88,331.61,1515.28,34982,24639,1424,213,155,236,431,44,1226.58,0.629
UGC-0125,2025-06-06,UrbanFit,Tech,AR,MimoStudio,nano,Instagram,UGC_Paid,17972,122.18,191.53,656.66,970.36,9500,8805,698,189,77,171,245,39,2787.74,0.781
UGC-0126,2025-06-07,BeatKitchen,Home,AR,KikeLab,micro,Instagram,Tutorial,35548,677.48,132.34,382.93,1192.76,4575,3462,168,38,31,27,230,3,141.76,0.646
UGC-0127,2025-06-08,GlowTech,Food,CL,DaniUX,micro,YouTube Shorts,UGC_Organic,94603,462.83,137.35,58.26,658.44,11977,8046,276,49,30,49,470,45,2257.96,0.968
UGC-0128,2025-06-09,NovaSkin,Fitness,MX,CataReels,nano,YouTube Shorts,Challenge,18645,159.86,230.78,165.9,556.53,7809,6798,967,244,123,243,315,27,775.46,0.69
UGC-0129,2025-06-10,CasaZen,Tech,MX,CataReels,nano,Instagram,Challenge,12419,217.92,135.89,265.96,619.76,1681,1155,288,72,38,47,70,2,138.39,0.713
UGC-0130,2025-06-11,UrbanFit,Tech,MX,JotaMedia,mid,YouTube Shorts,Tutorial,143023,2844.62,82.44,23.68,2950.74,43182,28705,982,234,148,209,646,8,438.79,0.685
UGC-0131,2025-06-12,NovaSkin,Tech,CL,ValeTrend,mid,TikTok,UGC_Paid,259482,1629.67,172.5,440.25,2242.42,75150,55307,3608,705,693,827,2483,285,25557.21,0.886
UGC-0132,2025-06-13,BeatKitchen,Tech,AR,LunaPixel,nano,YouTube Shorts,UGC_Paid,9457,107.99,32.33,894.88,1035.2,2528,1842,151,33,23,21,97,1,64.55,0.715
UGC-0133,2025-06-14,GlowTech,Fitness,PE,KikeLab,micro,TikTok,UGC_Organic,107758,1045.45,107.42,137.29,1290.16,20331,18045,2657,381,496,476,573,78,5449.51,0.706
UGC-0134,2025-06-15,GlowTech,Food,PE,MimoStudio,nano,Instagram,UGC_Organic,10754,244.51,21.46,364.95,630.92,4800,3832,359,85,77,52,101,7,451.48,0.484
UGC-0135,2025-06-16,NovaSkin,Fitness,PE,DaniUX,micro,YouTube Shorts,Tutorial,47023,629.15,31.91,560.64,1221.69,7488,5653,381,109,84,80,188,10,623.41,0.898
UGC-0136,2025-06-17,CasaZen,Home,PE,SofiLab,macro,TikTok,Challenge,929966,8505.22,95.27,116.6,8717.09,173444,132943,7152,1462,1517,1618,1851,179,2564.01,0.78
UGC-0137,2025-06-18,GlowTech,Fitness,CL,JotaMedia,mid,Instagram,UGC_Paid,238376,2346.97,97.35,1265.71,3710.03,130302,98554,8438,1491,980,1189,6465,154,14096.16,0.71
UGC-0138,2025-06-19,BeatKitchen,Beauty,AR,MaraCreator,macro,Instagram,Tutorial,1105356,9502.27,199.01,325.65,10026.93,255084,193164,17423,2404,2407,4446,6650,1233,21438.7,0.813
UGC-0139,2025-06-20,NovaSkin,Beauty,MX,MimoStudio,nano,TikTok,UGC_Organic,14957,149.85,39.37,297.99,487.22,8874,8308,350,43,35,65,348,62,1776.68,0.787
UGC-0140,2025-06-21,BeatKitchen,Fitness,PE,MimoStudio,nano,Instagram,Review,14681,237.16,212.89,345.42,795.48,5642,4927,506,99,101,145,252,5,350.51,0.552
UGC-0141,2025-06-22,UrbanFit,Food,PE,NicoFlow,micro,TikTok,Tutorial,114671,312.1,129.68,543.48,985.26,58463,52805,1623,236,462,300,1985,240,15620.61,0.864
UGC-0142,2025-06-23,NovaSkin,Fitness,AR,NicoFlow,micro,Instagram,Review,87035,579.22,27.75,87.58,694.55,51123,45350,2876,413,383,543,386,43,2547.15,0.761
UGC-0143,2025-06-24,GlowTech,Tech,AR,SofiLab,macro,Instagram,UGC_Organic,563323,5809.9,52.61,15.05,5877.56,190865,158612,9021,2481,1106,1711,1951,143,7138.7,0.735
UGC-0144,2025-06-25,GlowTech,Food,PE,NicoFlow,micro,Instagram,UGC_Organic,70534,1105.53,74.4,428.99,1608.91,30197,23308,1211,192,188,170,353,56,2247.93,0.804
UGC-0145,2025-06-26,UrbanFit,Beauty,PE,NicoFlow,micro,Instagram,Challenge,68090,389.1,93.74,145.22,628.06,22803,15049,2305,299,570,542,248,31,1382.0,0.891
UGC-0146,2025-06-27,UrbanFit,Home,CL,LunaPixel,nano,TikTok,UGC_Organic,15746,124.56,35.32,15.23,175.1,3339,2815,274,37,53,37,152,15,1449.09,0.739
UGC-0147,2025-06-28,NovaSkin,Fitness,CO,SofiLab,macro,TikTok,Review,1695431,10852.06,225.29,436.73,11514.08,794829,714042,19612,3876,4636,5694,35838,7281,209078.0,0.409
UGC-0148,2025-06-29,GlowTech,Beauty,MX,RafaVids,mid,TikTok,UGC_Organic,176411,1478.73,67.1,460.84,2006.67,95090,63992,1740,410,297,501,2006,144,6223.48,0.722
UGC-0149,2025-06-30,NovaSkin,Tech,CO,MimoStudio,nano,YouTube Shorts,UGC_Paid,18874,316.57,88.23,847.84,1252.65,4180,3636,560,114,72,116,87,4,158.92,0.63
UGC-0150,2025-07-01,UrbanFit,Tech,CO,LunaPixel,nano,Instagram,UGC_Paid,12407,161.56,178.73,908.84,1249.13,4260,3241,70,11,13,15,25,3,272.15,0.742
UGC-0151,2025-07-02,CasaZen,Beauty,CL,RafaVids,mid,Instagram,UGC_Organic,231114,3189.87,73.67,185.79,3449.34,67481,48126,5315,1107,1210,781,2736,323,10187.99,0.852
UGC-0152,2025-07-03,NovaSkin,Fitness,CO,MaraCreator,macro,TikTok,UGC_Paid,470955,4093.0,195.25,1095.18,5383.44,173042,114030,2290,374,604,363,5611,517,25362.45,0.659
UGC-0153,2025-07-04,CasaZen,Beauty,MX,MaraCreator,macro,TikTok,Review,1652765,10238.97,106.94,112.58,10458.49,373500,326381,14002,3068,2885,4165,21743,1662,99501.83,0.705
UGC-0154,2025-07-05,UrbanFit,Food,AR,CataReels,nano,YouTube Shorts,Review,8572,98.66,88.06,353.74,540.47,1630,1515,138,22,28,33,83,1,71.29,0.761
UGC-0155,2025-07-06,GlowTech,Food,PE,ValeTrend,mid,Instagram,UGC_Paid,339558,1324.71,76.71,982.17,2383.59,41744,29932,971,156,195,220,583,40,591.86,0.906
UGC-0156,2025-07-07,NovaSkin,Fitness,MX,ValeTrend,mid,TikTok,UGC_Organic,296537,1570.49,108.28,475.55,2154.32,35591,24549,3769,435,859,900,1224,45,4199.3,0.926
UGC-0157,2025-07-08,GlowTech,Tech,CO,JotaMedia,mid,Instagram,Review,125154,3478.79,89.86,191.09,3759.74,47695,37677,1616,341,202,249,985,126,1845.41,0.636
UGC-0158,2025-07-09,UrbanFit,Fitness,MX,MaraCreator,macro,TikTok,UGC_Paid,893898,9326.25,164.56,44.97,9535.78,433334,296327,14697,3398,1482,1813,18488,1153,39757.07,0.692
UGC-0159,2025-07-10,GlowTech,Home,PE,SofiLab,macro,Instagram,Challenge,585655,7293.56,202.85,145.63,7642.05,75442,64242,2935,738,402,726,2544,137,2868.14,0.849
UGC-0160,2025-07-11,BeatKitchen,Tech,PE,MimoStudio,nano,YouTube Shorts,UGC_Organic,7494,233.51,156.61,129.82,519.94,2719,2342,70,12,9,17,60,4,338.26,0.742
UGC-0161,2025-07-12,GlowTech,Fitness,CO,RafaVids,mid,Instagram,Review,237735,3759.2,235.11,433.41,4427.72,61828,49926,4673,555,1064,690,1947,307,13558.46,0.653
UGC-0162,2025-07-13,CasaZen,Tech,AR,DaniUX,micro,TikTok,UGC_Paid,68561,627.11,231.93,709.08,1568.12,22702,17534,650,189,93,127,1006,74,3165.74,0.723
UGC-0163,2025-07-14,CasaZen,Fitness,PE,MimoStudio,nano,TikTok,UGC_Organic,15890,116.36,108.92,259.4,484.68,3962,3535,192,37,39,29,182,24,1662.46,0.738
UGC-0164,2025-07-15,NovaSkin,Beauty,MX,LunaPixel,nano,TikTok,Review,15608,222.51,66.38,291.53,580.42,7506,5931,408,59,99,101,336,12,164.51,0.684
UGC-0165,2025-07-16,UrbanFit,Home,CL,AnaCrea,micro,TikTok,UGC_Paid,34258,340.23,92.12,511.59,943.94,3935,3301,353,49,49,69,183,9,278.24,0.844
UGC-0166,2025-07-17,BeatKitchen,Beauty,MX,MaraCreator,macro,Instagram,UGC_Paid,797089,6674.21,218.63,298.93,7191.78,192878,179303,3480,691,844,859,7619,955,89321.48,0.562
UGC-0167,2025-07-18,BeatKitchen,Fitness,CO,JotaMedia,mid,Instagram,Tutorial,420186,3373.23,168.22,21.82,3563.27,218042,171766,13244,2047,3053,2484,2627,477,22900.7,0.778
UGC-0168,2025-07-19,CasaZen,Food,MX,LunaPixel,nano,Instagram,UGC_Paid,6198,214.74,145.25,904.05,1264.04,1630,1434,193,26,27,46,35,0,0.0,0.721
UGC-0169,2025-07-20,NovaSkin,Tech,CL,AnaCrea,micro,TikTok,UGC_Organic,87341,411.51,146.59,80.69,638.79,13313,9834,1011,253,112,291,446,24,407.55,0.589
UGC-0170,2025-07-21,NovaSkin,Tech,MX,SofiLab,macro,YouTube Shorts,Review,782165,7122.59,91.6,99.21,7313.41,396818,357591,8799,2455,2367,1830,11749,1429,119967.55,0.721
UGC-0171,2025-07-22,BeatKitchen,Home,CL,CataReels,nano,Instagram,UGC_Organic,17194,147.21,128.38,235.43,511.02,3893,3527,155,46,23,29,145,10,401.43,0.83
UGC-0172,2025-07-23,NovaSkin,Food,MX,MaraCreator,macro,Instagram,UGC_Paid,709912,8863.78,86.81,1056.92,10007.51,278954,210759,11290,2451,2383,2652,5147,123,7632.3,0.641
UGC-0173,2025-07-24,CasaZen,Beauty,AR,RafaVids,mid,Instagram,Challenge,146081,4105.14,35.81,45.78,4186.73,23855,18014,1741,473,294,302,891,140,4469.27,0.783
UGC-0174,2025-07-25,UrbanFit,Food,PE,MimoStudio,nano,TikTok,Review,9808,139.92,64.12,475.33,679.36,1200,1050,28,7,6,6,64,6,63.17,0.818
UGC-0175,2025-07-26,CasaZen,Fitness,PE,SofiLab,macro,TikTok,Tutorial,1230529,7536.66,85.05,446.59,8068.3,303356,285170,12896,1664,2720,2852,10410,959,26056.7,0.682
UGC-0176,2025-07-27,NovaSkin,Fitness,PE,LunaPixel,nano,Instagram,UGC_Paid,13241,158.29,77.63,386.55,1493.93,1801,1361,126,26,20,24,64,3,430.12,0.6
UGC-0177,2025-07-28,GlowTech,Food,MX,MaraCreator,macro,Instagram,Tutorial,1525044,10008.35,75.12,429.22,10512.68,476822,332307,27701,5777,2959,3755,14579,2123,117470.55,0.767
UGC-0178,2025-07-29,GlowTech,Fitness,CO,MaraCreator,macro,TikTok,Tutorial,968812,4651.42,192.5,326.92,5170.84,406399,286702,31712,5189,4926,6840,5244,258,10453.54,0.87
UGC-0179,2025-07-30,GlowTech,Fitness,CO,MimoStudio,nano,TikTok,UGC_Organic,6933,337.56,82.95,513.36,933.86,1316,1206,27,5,6,9,10,0,0.0,0.694
UGC-0180,2025-07-31,NovaSkin,Home,MX,MaraCreator,macro,TikTok,Tutorial,1257879,5321.9,27.58,430.92,5780.4,146526,119594,7215,1754,1713,1142,5215,1121,75909.99,0.618
UGC-0181,2025-08-01,BeatKitchen,Beauty,CO,NicoFlow,micro,YouTube Shorts,UGC_Organic,43357,983.33,249.56,583.89,1816.78,13358,9255,581,98,107,159,411,69,2163.53,0.572
UGC-0182,2025-08-02,CasaZen,Food,CO,NicoFlow,micro,TikTok,UGC_Organic,33684,1035.92,99.9,452.34,1588.17,5981,5359,621,140,87,152,224,3,73.54,0.836
UGC-0183,2025-08-03,UrbanFit,Fitness,MX,MimoStudio,nano,TikTok,UGC_Organic,13202,196.22,162.22,523.54,881.98,3040,2327,267,59,34,44,142,2,120.91,0.637
UGC-0184,2025-08-04,CasaZen,Food,MX,MaraCreator,macro,Instagram,Review,599524,10552.87,136.63,255.18,10944.68,109401,88676,7189,1268,1257,1162,699,25,1974.44,0.675
UGC-0185,2025-08-05,CasaZen,Home,CL,KikeLab,micro,Instagram,Tutorial,109270,985.68,142.11,571.37,1699.16,34328,25117,1224,241,330,329,1005,213,7334.16,0.796
UGC-0186,2025-08-06,GlowTech,Fitness,MX,LunaPixel,nano,Instagram,Tutorial,6857,154.52,217.2,157.36,529.08,1573,1397,46,9,6,7,53,11,193.8,0.62
UGC-0187,2025-08-07,GlowTech,Beauty,MX,DaniUX,micro,TikTok,UGC_Paid,78208,943.6,82.85,1020.06,2046.51,37776,34303,3611,966,780,560,510,26,309.59,0.697
UGC-0188,2025-08-08,GlowTech,Beauty,PE,CataReels,nano,Instagram,Challenge,11242,206.33,192.86,252.2,651.38,6867,5467,1042,218,143,220,149,23,568.72,0.797
UGC-0189,2025-08-09,CasaZen,Tech,AR,JotaMedia,mid,TikTok,UGC_Organic,231491,2752.93,133.05,322.61,3208.59,76746,52526,4593,766,780,1133,1541,190,11400.67,0.722
UGC-0190,2025-08-10,BeatKitchen,Fitness,CO,MimoStudio,nano,Instagram,Challenge,11621,84.47,58.54,117.05,260.06,4958,4465,459,122,94,95,44,5,94.6,0.746
UGC-0191,2025-08-11,NovaSkin,Fitness,MX,JotaMedia,mid,TikTok,Tutorial,287839,2420.16,171.5,215.49,2807.15,124783,103075,4521,903,1001,1005,2246,491,38034.7,0.876
UGC-0192,2025-08-12,NovaSkin,Tech,PE,AnaCrea,micro,TikTok,UGC_Organic,50011,597.66,45.67,129.2,772.52,27117,17729,2821,415,415,513,1136,61,3899.28,0.574
UGC-0193,2025-08-13,UrbanFit,Tech,CO,MimoStudio,nano,Instagram,Review,6850,213.39,34.92,225.01,473.31,1200,1025,39,5,6,9,58,2,120.44,0.664
UGC-0194,2025-08-14,CasaZen,Fitness,CO,RafaVids,mid,TikTok,UGC_Paid,257757,2381.55,170.43,448.66,3000.64,56529,41392,4008,515,936,676,1458,257,20994.02,0.742
UGC-0195,2025-08-15,GlowTech,Food,CO,AnaCrea,micro,YouTube Shorts,UGC_Organic,118779,704.4,182.4,103.86,990.66,67743,60963,2946,648,635,601,458,71,4702.9,0.438
UGC-0196,2025-08-16,BeatKitchen,Home,CO,ValeTrend,mid,Instagram,UGC_Paid,186591,4046.79,96.77,527.71,4671.26,74421,68865,2787,629,668,517,826,92,7687.04,0.842
UGC-0197,2025-08-17,UrbanFit,Food,MX,NicoFlow,micro,TikTok,UGC_Paid,81411,713.05,73.88,577.42,1364.35,19897,17474,844,258,104,220,491,83,3965.19,0.539
UGC-0198,2025-08-18,GlowTech,Fitness,PE,MimoStudio,nano,Instagram,UGC_Paid,18810,327.8,242.03,1283.24,1853.06,6883,4663,667,135,129,89,165,11,457.0,0.592
UGC-0199,2025-08-19,CasaZen,Fitness,MX,ValeTrend,mid,Instagram,Review,167996,1570.21,74.0,229.89,1874.11,73989,69554,1294,311,142,215,559,38,1567.85,0.774
UGC-0200,2025-08-20,NovaSkin,Beauty,AR,KikeLab,micro,TikTok,Review,49515,703.08,45.13,224.65,972.86,12117,8495,345,52,75,58,510,46,3476.93,0.767
