id_campana,fecha,cliente,plataforma,formato,duracion_seg,objetivo,pais,presupuesto_usd,costo_usd,impresiones,alcance,clicks,reproducciones_3s,reproducciones_100,conversiones,ingresos_usd,calificacion_creativa
CAMP-0001,2025-01-02,LumaAds,YouTube,Reel,30,Traffic,MX,2449.27,2356.84,319655,212076,4073,171648,26034,82,626.92,79
CAMP-0002,2025-01-03,FrameHouse,Facebook,Reel,25,Traffic,AR,1153.08,836.4,185919,103138,3718,88732,22749,93,678.65,93
CAMP-0003,2025-01-04,PixelForge,Facebook,Video Largo,60,Ventas,PE,398.93,291.12,50288,27514,488,22772,9557,24,1082.33,63
CAMP-0004,2025-01-05,FrameHouse,YouTube,Video Largo,90,Awareness,AR,1752.35,1304.59,279213,210519,2491,177098,29152,19,64.42,69
CAMP-0005,2025-01-06,NeoStudio,Instagram,Video Largo,45,Ventas,CL,703.8,640.98,140856,109020,1878,68165,39455,137,5787.29,73
CAMP-0006,2025-01-07,CromaLab,YouTube,Story,5,Leads,MX,1771.16,1307.11,234268,196885,3684,158686,74643,142,3167.19,72
CAMP-0007,2025-01-08,PixelForge,X,Imagen,0,Traffic,AR,3216.04,3070.29,421003,310381,4219,101883,29422,74,661.87,70
CAMP-0008,2025-01-09,FrameHouse,Facebook,Carrusel,0,Traffic,CL,438.26,419.55,101302,55627,1568,24484,9011,27,202.17,76
CAMP-0009,2025-01-10,PixelForge,X,Imagen,0,Leads,CO,1546.72,1368.99,196186,162023,1835,25552,2743,75,1582.65,71
CAMP-0010,2025-01-11,CromaLab,Instagram,Reel,25,Traffic,AR,1921.01,1435.89,306656,215683,6258,172708,42644,143,1181.1,62
CAMP-0011,2025-01-12,PixelForge,TikTok,Story,5,Leads,PE,569.86,450.71,109757,89229,2000,56633,18441,72,1408.31,63
CAMP-0012,2025-01-13,FrameHouse,Facebook,Imagen,0,Ventas,CL,3008.26,2130.48,411714,244012,4102,74370,33084,168,7365.38,51
CAMP-0013,2025-01-14,FrameHouse,Instagram,Story,5,Ventas,CO,2680.92,1796.24,404104,279223,8344,285090,49961,448,19192.94,66
CAMP-0014,2025-01-15,FrameHouse,YouTube,Reel,25,Awareness,PE,2386.46,2023.31,317822,193445,5358,142472,28150,41,132.93,71
CAMP-0015,2025-01-16,NeoStudio,X,Reel,10,Awareness,AR,3112.81,2981.28,426281,244529,6804,245674,141110,66,214.46,74
CAMP-0016,2025-01-17,PixelForge,Instagram,Reel,10,Leads,AR,1135.13,978.13,235127,138542,6322,124795,67183,352,8003.84,100
CAMP-0017,2025-01-18,LumaAds,Facebook,Video Largo,90,Traffic,CO,1639.98,1071.54,161119,132158,2444,106145,42065,56,421.78,76
CAMP-0018,2025-01-19,CromaLab,YouTube,Carrusel,0,Traffic,CO,2069.62,1978.87,432489,335102,6415,63143,23991,110,835.63,64
CAMP-0019,2025-01-20,CromaLab,Instagram,Carrusel,0,Awareness,PE,972.91,910.45,191799,119637,4326,23742,3979,39,116.05,90
CAMP-0020,2025-01-21,CromaLab,TikTok,Reel,10,Ventas,MX,1098.95,937.63,314713,167744,7403,201724,66975,420,22218.58,62
CAMP-0021,2025-01-22,FrameHouse,TikTok,Carrusel,0,Leads,CO,890.36,713.14,235827,196458,6106,33001,13695,388,8085.88,92
CAMP-0022,2025-01-23,NeoStudio,Instagram,Carrusel,0,Traffic,PE,2681.44,1906.26,425537,280031,8333,65374,24516,161,1377.99,71
CAMP-0023,2025-01-24,FrameHouse,TikTok,Imagen,0,Ventas,CO,1925.22,1677.89,407613,325382,8648,63564,10786,706,28810.28,79
CAMP-0024,2025-01-25,NeoStudio,YouTube,Story,5,Traffic,CL,729.61,649.84,137092,111394,2527,59082,29175,68,595.6,80
CAMP-0025,2025-01-26,NeoStudio,YouTube,Imagen,0,Leads,AR,2241.12,2020.92,353048,283283,4992,84373,22454,368,7158.14,97
CAMP-0026,2025-01-27,CromaLab,TikTok,Carrusel,0,Awareness,PE,1341.5,1291.27,266676,152347,5103,41130,10085,35,104.23,70
CAMP-0027,2025-01-28,PixelForge,X,Reel,25,Ventas,CL,3313.91,2500.39,361741,297770,5373,224935,110654,354,18341.6,66
CAMP-0028,2025-01-29,CromaLab,TikTok,Carrusel,0,Traffic,AR,786.4,639.8,136437,99812,2136,28693,3141,43,371.51,71
CAMP-0029,2025-01-30,FrameHouse,Instagram,Story,5,Leads,CO,2953.75,2180.74,364096,191729,6394,174578,74381,347,7764.09,64
CAMP-0030,2025-01-31,CromaLab,Instagram,Story,5,Awareness,CL,3330.21,2706.67,506407,326847,11302,311841,150378,143,405.77,88
CAMP-0031,2025-02-01,CromaLab,X,Reel,10,Leads,MX,2515.88,1900.88,321156,254959,5309,117284,43912,286,6207.49,80
CAMP-0032,2025-02-02,LumaAds,TikTok,Story,10,Ventas,CL,1744.15,1227.09,270189,188428,6468,186500,89677,465,21556.2,70
CAMP-0033,2025-02-03,CromaLab,Instagram,Story,5,Leads,PE,3015.6,4734.53,391674,309917,2402,238701,62434,101,2917.99,75
CAMP-0034,2025-02-04,CromaLab,Facebook,Carrusel,0,Leads,AR,1845.17,1711.44,260522,155099,4527,55503,14743,209,4383.39,78
CAMP-0035,2025-02-05,LumaAds,TikTok,Reel,15,Leads,MX,3340.35,2978.11,662302,510718,14236,418095,168319,695,16326.15,70
CAMP-0036,2025-02-06,PixelForge,YouTube,Reel,20,Awareness,MX,427.21,321.37,69342,51096,1443,24584,6517,12,37.23,92
CAMP-0037,2025-02-07,LumaAds,TikTok,Reel,25,Leads,PE,2079.23,1572.61,530174,297042,16111,340676,81524,905,18938.4,82
CAMP-0038,2025-02-08,LumaAds,YouTube,Video Largo,90,Leads,AR,3329.67,2406.44,354302,263793,3297,133846,18896,141,2893.72,78
CAMP-0039,2025-02-09,CromaLab,YouTube,Story,10,Leads,AR,2281.44,2010.89,431935,287041,7507,296355,149279,474,8721.55,92
CAMP-0040,2025-02-10,FrameHouse,YouTube,Imagen,0,Traffic,MX,1854.83,1257.86,165065,110080,1637,22219,9702,29,263.1,68
CAMP-0041,2025-02-11,CromaLab,Facebook,Reel,25,Traffic,PE,3490.07,2800.99,637473,541519,10950,298841,55591,219,1655.69,69
CAMP-0042,2025-02-12,LumaAds,Instagram,Reel,30,Traffic,PE,626.75,576.86,148482,118856,2387,77348,12673,66,551.85,79
CAMP-0043,2025-02-13,LumaAds,Instagram,Story,15,Ventas,PE,2297.57,2136.19,511574,320068,7309,221582,113055,496,20797.09,74
CAMP-0044,2025-02-14,LumaAds,YouTube,Story,10,Traffic,PE,1784.71,1445.39,203834,119203,3224,81637,13936,83,741.26,77
CAMP-0045,2025-02-15,CromaLab,YouTube,Video Largo,90,Ventas,CL,1330.43,1220.01,198579,166244,2374,87048,26854,190,9744.3,66
CAMP-0046,2025-02-16,NeoStudio,X,Carrusel,0,Leads,MX,744.34,735.18,90364,76648,1001,23061,3110,41,947.04,80
CAMP-0047,2025-02-17,PixelForge,TikTok,Imagen,0,Traffic,CL,3018.24,2862.26,909872,590691,14531,219737,89066,346,2519.02,71
CAMP-0048,2025-02-18,PixelForge,X,Carrusel,0,Leads,PE,576.65,408.4,56034,29689,530,9937,2491,17,329.25,63
CAMP-0049,2025-02-19,LumaAds,Facebook,Video Largo,90,Awareness,CL,1748.74,1292.13,218604,114372,3316,131318,27512,38,116.7,81
CAMP-0050,2025-02-20,CromaLab,Facebook,Reel,30,Traffic,AR,1820.43,1334.42,269907,193101,6135,192130,82543,122,953.41,74
CAMP-0051,2025-02-21,PixelForge,Facebook,Reel,10,Ventas,AR,1064.54,973.47,216792,162917,3349,126207,19858,198,9986.43,78
CAMP-0052,2025-02-22,PixelForge,TikTok,Story,15,Awareness,CO,2806.17,2684.83,664005,458568,14650,456966,253818,119,418.0,83
CAMP-0053,2025-02-23,NeoStudio,Facebook,Reel,25,Leads,CL,2998.67,2534.05,385015,251859,6086,187262,87931,236,4594.47,72
CAMP-0054,2025-02-24,FrameHouse,Instagram,Imagen,0,Leads,CO,3224.58,2345.81,386593,309317,6518,71646,10669,268,6244.15,68
CAMP-0055,2025-02-25,PixelForge,TikTok,Story,10,Ventas,AR,2158.86,1952.28,627880,466309,16608,437914,115208,1222,60119.39,72
CAMP-0056,2025-02-26,PixelForge,YouTube,Imagen,0,Traffic,PE,1543.95,1106.14,153667,124213,1589,34217,10573,34,246.43,65
CAMP-0057,2025-02-27,PixelForge,Instagram,Reel,10,Ventas,CO,3176.73,2068.03,530751,302100,8876,220030,94803,553,22576.13,74
CAMP-0058,2025-02-28,PixelForge,Instagram,Reel,30,Traffic,CL,619.36,416.36,87134,56035,1986,37639,15456,46,406.14,81
CAMP-0059,2025-03-01,PixelForge,Facebook,Story,10,Awareness,PE,3172.62,2419.88,382343,215222,6814,234566,72152,63,201.71,74
CAMP-0060,2025-03-02,CromaLab,Facebook,Reel,25,Traffic,MX,992.6,762.94,144875,95825,1959,86358,26312,38,286.59,66
CAMP-0061,2025-03-03,NeoStudio,Facebook,Story,10,Awareness,CO,2075.47,1835.76,340404,278119,8562,234491,38136,94,276.51,100
CAMP-0062,2025-03-04,LumaAds,YouTube,Reel,30,Awareness,AR,2997.46,2333.96,463999,331849,9442,329709,164890,111,356.91,86
CAMP-0063,2025-03-05,NeoStudio,X,Story,15,Awareness,PE,476.15,432.98,83424,45983,1178,43201,9040,11,32.58,86
CAMP-0064,2025-03-06,CromaLab,Instagram,Reel,30,Traffic,PE,1628.05,1404.16,288327,171062,6684,112744,49428,158,1347.52,88
CAMP-0065,2025-03-07,CromaLab,Instagram,Reel,20,Ventas,MX,1190.7,823.96,177108,118028,3064,77066,29735,231,11299.92,78
CAMP-0066,2025-03-08,CromaLab,TikTok,Reel,20,Traffic,PE,1645.17,1302.23,373141,230763,7819,154328,85953,180,1481.51,60
CAMP-0067,2025-03-09,NeoStudio,TikTok,Reel,15,Ventas,CO,2782.13,1882.76,537624,376554,11620,258009,144902,962,46784.54,76
CAMP-0068,2025-03-10,PixelForge,YouTube,Carrusel,0,Leads,CL,825.72,760.07,132024,102518,1912,35364,10523,86,1853.96,69
CAMP-0069,2025-03-11,NeoStudio,TikTok,Story,15,Traffic,AR,1258.83,1017.35,206659,165901,4220,137729,56552,128,1066.99,88
CAMP-0070,2025-03-12,LumaAds,YouTube,Video Largo,60,Ventas,CL,1714.2,1600.79,329434,281340,3006,120072,54194,247,13087.65,81
CAMP-0071,2025-03-13,CromaLab,TikTok,Story,15,Leads,CO,464.21,317.09,92592,57093,2500,63457,33266,140,2781.36,80
CAMP-0072,2025-03-14,LumaAds,YouTube,Imagen,0,Traffic,CO,1474.21,1366.71,278170,208026,3330,63886,18158,71,613.94,62
CAMP-0073,2025-03-15,NeoStudio,X,Story,5,Leads,PE,753.57,567.84,100802,69816,1509,54918,23683,100,2290.78,93
CAMP-0074,2025-03-16,CromaLab,Facebook,Reel,25,Traffic,CL,1585.29,1405.72,235207,157830,4702,121391,45517,151,1191.87,100
CAMP-0075,2025-03-17,CromaLab,Facebook,Carrusel,0,Traffic,PE,899.02,774.62,181050,97358,2674,48790,17027,53,442.85,71
CAMP-0076,2025-03-18,LumaAds,Instagram,Story,10,Ventas,CO,971.62,784.97,155327,82178,2377,67914,39226,178,8049.85,79
CAMP-0077,2025-03-19,PixelForge,Instagram,Story,10,Ventas,CO,2542.99,2052.22,324469,177464,5425,179450,82544,456,21500.36,75
CAMP-0078,2025-03-20,PixelForge,TikTok,Carrusel,0,Traffic,PE,610.29,590.03,165405,86934,3419,23648,5917,64,548.94,71
CAMP-0079,2025-03-21,LumaAds,X,Reel,10,Traffic,PE,2050.99,1613.43,244089,179680,3161,86898,42314,42,334.84,47
CAMP-0080,2025-03-22,CromaLab,TikTok,Video Largo,90,Ventas,PE,2475.22,2458.6,647668,376926,9108,452806,70761,726,31247.07,75
CAMP-0081,2025-03-23,LumaAds,TikTok,Reel,15,Leads,MX,405.36,356.52,83450,66073,1991,42785,23995,90,1790.87,72
CAMP-0082,2025-03-24,FrameHouse,Facebook,Reel,20,Leads,CL,2922.61,2457.67,432713,236790,10173,247931,81195,560,12243.1,96
CAMP-0083,2025-03-25,FrameHouse,Instagram,Imagen,0,Ventas,CO,1430.76,1331.16,314116,265097,4313,76961,8633,378,15629.22,89
CAMP-0084,2025-03-26,CromaLab,YouTube,Imagen,0,Traffic,CO,2730.02,2322.9,411163,269448,5478,56802,20305,117,973.19,83
CAMP-0085,2025-03-27,NeoStudio,X,Story,15,Ventas,AR,3021.69,2442.18,455810,306002,4434,302130,84783,332,14899.35,71
CAMP-0086,2025-03-28,CromaLab,TikTok,Reel,20,Awareness,PE,701.35,649.89,129171,91500,3106,71574,29292,32,88.72,77
CAMP-0087,2025-03-29,NeoStudio,Instagram,Imagen,0,Leads,AR,1369.67,1311.17,324672,239455,3609,61434,25725,188,3442.34,62
CAMP-0088,2025-03-30,FrameHouse,X,Reel,15,Ventas,PE,1936.42,1451.19,172700,101330,3079,100383,41192,209,8710.53,81
CAMP-0089,2025-03-31,LumaAds,TikTok,Imagen,0,Awareness,CL,3332.78,3065.68,713830,422355,13940,89118,36640,138,435.84,79
CAMP-0090,2025-04-01,CromaLab,Instagram,Reel,20,Traffic,MX,1823.82,1315.72,299417,187518,6755,200156,113921,166,1243.82,73
CAMP-0091,2025-04-02,PixelForge,Instagram,Reel,30,Awareness,MX,2249.98,1658.0,426840,245133,8003,198781,94574,73,227.65,74
CAMP-0092,2025-04-03,CromaLab,X,Video Largo,90,Ventas,AR,949.22,734.23,85662,58958,1049,44896,16887,91,4656.87,86
CAMP-0093,2025-04-04,FrameHouse,Instagram,Reel,20,Leads,PE,1505.63,1215.98,268741,215155,5700,106852,19504,284,5705.53,71
CAMP-0094,2025-04-05,FrameHouse,TikTok,Reel,30,Awareness,PE,2569.17,2392.89,644320,367674,20862,447548,125382,167,506.02,83
CAMP-0095,2025-04-06,FrameHouse,TikTok,Carrusel,0,Traffic,CL,2439.87,2422.7,674647,533576,16646,83834,22308,432,4046.21,80
CAMP-0096,2025-04-07,PixelForge,Instagram,Video Largo,120,Leads,CO,2983.79,2093.79,494393,262391,8000,176501,49071,293,5522.47,68
CAMP-0097,2025-04-08,LumaAds,TikTok,Video Largo,60,Ventas,CO,3359.23,5992.67,738833,521418,4503,444685,219499,249,17514.85,67
CAMP-0098,2025-04-09,LumaAds,X,Imagen,0,Ventas,MX,2540.93,2265.45,346257,236539,3636,81531,16365,329,15701.79,78
CAMP-0099,2025-04-10,CromaLab,TikTok,Carrusel,0,Traffic,AR,1807.01,1302.36,354263,296598,7835,77409,23639,134,1037.58,69
CAMP-0100,2025-04-11,FrameHouse,YouTube,Reel,20,Ventas,CO,266.84,224.85,48201,31733,977,25385,5781,87,4580.14,79
CAMP-0101,2025-04-12,PixelForge,TikTok,Carrusel,0,Ventas,AR,3117.3,2218.04,724207,622121,15486,195432,85354,1198,62497.38,82
CAMP-0102,2025-04-13,NeoStudio,TikTok,Imagen,0,Traffic,CO,1855.22,1815.33,574917,390441,8709,83937,21875,154,1197.55,73
CAMP-0103,2025-04-14,LumaAds,YouTube,Video Largo,45,Traffic,CO,1552.71,1061.1,232686,158769,2913,114463,38524,45,350.91,68
CAMP-0104,2025-04-15,FrameHouse,Instagram,Reel,15,Traffic,AR,1567.6,1294.65,337756,256427,6606,232703,62787,126,1080.67,80
CAMP-0105,2025-04-16,NeoStudio,TikTok,Video Largo,60,Traffic,CO,959.84,707.03,214179,174955,2584,130733,22795,48,406.26,62
CAMP-0106,2025-04-17,CromaLab,TikTok,Video Largo,90,Awareness,AR,917.55,783.68,163009,113051,3180,88008,30009,27,74.21,73
CAMP-0107,2025-04-18,CromaLab,Facebook,Carrusel,0,Leads,MX,457.22,456.28,109581,59553,2240,20318,7500,94,2095.13,85
CAMP-0108,2025-04-19,NeoStudio,YouTube,Carrusel,0,Traffic,CO,2373.99,1832.05,264158,185615,3750,41111,4161,98,710.59,79
CAMP-0109,2025-04-20,NeoStudio,TikTok,Reel,10,Awareness,PE,354.71,312.52,88422,74126,2997,33149,13303,27,83.03,89
CAMP-0110,2025-04-21,LumaAds,Instagram,Imagen,0,Awareness,MX,1887.66,1418.09,356966,274405,4375,81247,17243,36,106.33,64
CAMP-0111,2025-04-22,LumaAds,YouTube,Video Largo,120,Leads,CO,2056.51,1370.48,218869,161684,2410,132992,42508,131,2578.0,83
CAMP-0112,2025-04-23,FrameHouse,Facebook,Imagen,0,Leads,PE,3395.31,2869.21,449067,270595,5727,120150,47639,354,6555.3,90
CAMP-0113,2025-04-24,FrameHouse,Instagram,Reel,25,Ventas,AR,955.3,690.79,181168,112882,4085,76146,35503,220,10980.35,64
CAMP-0114,2025-04-25,NeoStudio,Facebook,Story,10,Traffic,CO,1417.59,1051.21,206131,142039,2643,107953,55000,68,628.87,69
CAMP-0115,2025-04-26,NeoStudio,Instagram,Video Largo,60,Leads,CO,887.62,648.41,144796,87391,2089,68763,32722,126,2612.77,75
CAMP-0116,2025-04-27,FrameHouse,Facebook,Video Largo,60,Ventas,CL,2011.94,1759.71,261558,139018,3606,156212,74405,292,13343.27,68
CAMP-0117,2025-04-28,NeoStudio,TikTok,Video Largo,45,Leads,CO,1835.53,1197.34,327933,171846,5376,233379,34433,217,4894.15,68
CAMP-0118,2025-04-29,FrameHouse,Instagram,Video Largo,120,Ventas,CL,1118.81,882.64,177046,116504,2438,76761,33849,203,10390.17,69
CAMP-0119,2025-04-30,LumaAds,Instagram,Reel,25,Awareness,PE,2799.22,2373.88,609124,336494,11785,260841,136151,73,251.52,66
CAMP-0120,2025-05-01,NeoStudio,YouTube,Reel,25,Ventas,MX,1272.08,1254.93,228884,177560,4147,86625,18319,289,12580.16,77
CAMP-0121,2025-05-02,FrameHouse,TikTok,Imagen,0,Awareness,CL,1356.93,1247.22,413509,270798,7371,67704,30291,41,127.6,59
CAMP-0122,2025-05-03,NeoStudio,Instagram,Video Largo,90,Ventas,MX,2567.6,1742.66,305510,232789,4947,142725,26672,438,17767.67,84
CAMP-0123,2025-05-04,NeoStudio,Instagram,Story,15,Leads,CO,1400.22,955.75,216548,136491,3887,106863,18943,172,3963.97,75
CAMP-0124,2025-05-05,CromaLab,Instagram,Reel,25,Awareness,AR,793.42,592.36,113805,89462,2249,70187,25137,25,80.45,78
CAMP-0125,2025-05-06,LumaAds,Facebook,Story,10,Ventas,CL,2926.49,2569.06,525665,327041,8706,277148,60462,626,28494.15,67
CAMP-0126,2025-05-07,CromaLab,TikTok,Carrusel,0,Traffic,CO,3279.22,2360.81,797030,463214,20040,188381,81011,363,2784.07,80
CAMP-0127,2025-05-08,LumaAds,YouTube,Reel,20,Leads,CO,490.39,488.79,84222,55272,1336,51032,19351,78,1749.39,73
CAMP-0128,2025-05-09,CromaLab,YouTube,Reel,30,Ventas,CL,2451.78,1936.58,383202,325087,5126,170805,62292,229,10771.44,59
CAMP-0129,2025-05-10,CromaLab,Facebook,Video Largo,120,Traffic,AR,589.79,469.23,114023,63791,1741,53066,18060,32,245.23,75
CAMP-0130,2025-05-11,NeoStudio,Instagram,Reel,25,Leads,CO,323.4,249.04,42369,33556,1093,22918,8773,62,1230.92,78
CAMP-0131,2025-05-12,PixelForge,YouTube,Story,10,Awareness,AR,2174.66,1709.48,330601,195043,5370,123363,22793,53,181.92,72
CAMP-0132,2025-05-13,LumaAds,YouTube,Video Largo,45,Ventas,MX,1268.56,997.12,163729,91498,1616,67756,29567,110,5564.65,72
CAMP-0133,2025-05-14,FrameHouse,Instagram,Reel,20,Traffic,MX,2188.38,1862.71,384390,263486,8669,266903,57710,256,1938.89,83
CAMP-0134,2025-05-15,LumaAds,Facebook,Imagen,0,Traffic,CO,884.17,693.53,139528,103535,1902,32596,8323,46,348.43,84
CAMP-0135,2025-05-16,NeoStudio,TikTok,Reel,30,Traffic,AR,2036.61,1404.49,296813,232564,8799,194224,30747,186,1638.76,76
CAMP-0136,2025-05-17,NeoStudio,Facebook,Reel,30,Traffic,CO,3052.15,2076.82,483738,270850,8857,301328,133554,140,1278.02,59
CAMP-0137,2025-05-18,NeoStudio,Facebook,Carrusel,0,Leads,CO,797.23,791.37,136970,97896,2324,36163,13934,100,1875.93,63
CAMP-0138,2025-05-19,CromaLab,Instagram,Story,15,Awareness,CL,2991.56,2355.69,409703,301138,8228,154843,75814,68,227.52,74
CAMP-0139,2025-05-20,LumaAds,TikTok,Reel,20,Ventas,MX,1739.96,1535.43,378062,204732,9729,192421,44875,601,26374.02,75
CAMP-0140,2025-05-21,LumaAds,Instagram,Video Largo,90,Ventas,AR,302.91,295.43,51920,35057,791,37299,20146,45,2322.68,60
CAMP-0141,2025-05-22,PixelForge,Instagram,Carrusel,0,Leads,CL,2609.46,2385.91,494065,272233,7745,65448,20144,383,8008.1,90
CAMP-0142,2025-05-23,NeoStudio,YouTube,Story,5,Awareness,CL,540.33,503.63,69072,44549,968,44962,23595,8,25.91,81
CAMP-0143,2025-05-24,FrameHouse,TikTok,Reel,15,Leads,PE,1687.75,1225.37,396055,224802,9122,190133,62540,581,13031.85,89
CAMP-0144,2025-05-25,CromaLab,Facebook,Story,10,Ventas,PE,337.18,319.13,74684,44052,1273,36964,15684,73,3677.44,70
CAMP-0145,2025-05-26,CromaLab,Instagram,Imagen,0,Awareness,PE,1507.22,1422.27,293143,206888,3527,81487,10230,29,92.61,71
CAMP-0146,2025-05-27,PixelForge,TikTok,Carrusel,0,Leads,AR,1626.62,1286.33,368658,259093,6924,48900,20651,295,6919.57,83
CAMP-0147,2025-05-28,LumaAds,YouTube,Carrusel,0,Ventas,CO,1662.07,1344.08,247883,154966,3920,34483,11991,333,16429.85,80
CAMP-0148,2025-05-29,FrameHouse,TikTok,Carrusel,0,Ventas,CO,2632.04,4003.08,588971,373350,4336,95455,42121,233,18046.1,78
CAMP-0149,2025-05-30,NeoStudio,TikTok,Reel,10,Awareness,CL,992.31,821.72,165410,134543,3237,81332,16757,24,83.57,62
CAMP-0150,2025-05-31,CromaLab,Facebook,Story,10,Ventas,MX,2107.49,1457.94,310340,166934,4290,113892,36036,290,14949.53,69
CAMP-0151,2025-06-01,PixelForge,TikTok,Story,5,Ventas,AR,1446.89,1432.64,483778,379185,12678,311799,64308,944,49322.31,76
CAMP-0152,2025-06-02,CromaLab,Instagram,Video Largo,120,Ventas,MX,2613.45,1793.83,392299,235762,5213,282013,127787,273,11376.49,69
CAMP-0153,2025-06-03,NeoStudio,YouTube,Video Largo,60,Leads,PE,452.42,398.97,55744,34515,661,27615,13974,35,693.95,66
CAMP-0154,2025-06-04,NeoStudio,Instagram,Reel,20,Traffic,MX,1270.61,879.59,174934,136783,3841,116404,20927,94,846.85,85
CAMP-0155,2025-06-05,NeoStudio,YouTube,Imagen,0,Traffic,CL,2915.29,2072.34,448705,363704,5811,60645,8227,148,1328.76,85
CAMP-0156,2025-06-06,NeoStudio,TikTok,Video Largo,45,Leads,PE,2142.55,1586.75,493832,260452,6876,253864,49926,427,9850.22,79
CAMP-0157,2025-06-07,CromaLab,TikTok,Carrusel,0,Traffic,CO,1400.32,1355.38,317595,213310,5273,69463,22682,117,973.15,69
CAMP-0158,2025-06-08,NeoStudio,TikTok,Video Largo,90,Ventas,MX,1059.73,1057.54,288436,151901,5036,152145,73612,441,19772.16,84
CAMP-0159,2025-06-09,NeoStudio,TikTok,Reel,10,Ventas,CO,3472.48,2900.57,883683,759848,28136,524059,134825,1656,84100.28,77
CAMP-0160,2025-06-10,PixelForge,YouTube,Carrusel,0,Leads,MX,3220.44,2125.08,410145,345411,5623,61569,27447,280,6422.39,73
CAMP-0161,2025-06-11,CromaLab,Instagram,Video Largo,90,Awareness,PE,2245.94,2093.79,412178,239201,6272,153344,31434,61,200.81,68
CAMP-0162,2025-06-12,LumaAds,Instagram,Story,5,Awareness,CO,761.89,748.21,186272,157702,3911,131961,58744,30,104.41,78
CAMP-0163,2025-06-13,LumaAds,Instagram,Reel,20,Leads,CO,2755.2,2338.11,417423,262222,8587,244889,45502,368,7646.54,59
CAMP-0164,2025-06-14,NeoStudio,YouTube,Imagen,0,Ventas,CL,2427.58,2197.57,349177,182924,3249,61482,23083,236,11700.22,68
CAMP-0165,2025-06-15,PixelForge,TikTok,Story,10,Traffic,PE,3058.16,2684.57,787287,452928,15798,361456,101292,467,4357.91,86
CAMP-0166,2025-06-16,LumaAds,X,Imagen,0,Traffic,CO,3452.15,3323.14,566999,377989,6488,107430,12756,167,1326.26,83
CAMP-0167,2025-06-17,CromaLab,Instagram,Story,5,Traffic,AR,262.4,178.61,45127,33056,836,19249,8100,14,131.44,73
CAMP-0168,2025-06-18,FrameHouse,Instagram,Video Largo,90,Awareness,CO,3127.85,2437.5,509405,310492,7167,228910,38255,56,186.59,77
CAMP-0169,2025-06-19,NeoStudio,YouTube,Imagen,0,Ventas,CO,3067.41,2503.58,525588,358413,4433,123139,33953,345,17886.78,66
CAMP-0170,2025-06-20,FrameHouse,X,Carrusel,0,Awareness,AR,1625.97,1619.3,240336,206465,3169,38757,16230,36,124.84,83
CAMP-0171,2025-06-21,CromaLab,Facebook,Video Largo,90,Ventas,CL,2159.62,1994.6,307683,175649,4565,217528,40044,406,16983.39,92
CAMP-0172,2025-06-22,LumaAds,YouTube,Story,10,Awareness,AR,1559.67,1351.28,258305,169599,3721,156401,25288,41,127.07,78
CAMP-0173,2025-06-23,PixelForge,Facebook,Imagen,0,Leads,PE,1226.56,1116.54,249419,156908,3970,33493,8527,227,5247.16,84
CAMP-0174,2025-06-24,CromaLab,Facebook,Reel,10,Leads,PE,1561.0,1441.09,284309,202811,4377,120623,19945,257,4673.6,75
CAMP-0175,2025-06-25,NeoStudio,TikTok,Imagen,0,Leads,CO,1699.84,1676.35,440654,311742,7530,71115,27792,445,8235.26,77
CAMP-0176,2025-06-26,LumaAds,YouTube,Carrusel,0,Traffic,CL,1580.9,1038.68,208212,162608,2364,46551,14449,73,526.98,88
CAMP-0177,2025-06-27,LumaAds,Facebook,Imagen,0,Traffic,AR,1942.07,1686.23,343280,179363,5831,87296,25884,167,1424.52,78
CAMP-0178,2025-06-28,CromaLab,YouTube,Imagen,0,Traffic,AR,2561.05,2464.58,383086,218732,5467,95338,36307,163,1392.68,85
CAMP-0179,2025-06-29,CromaLab,Instagram,Story,15,Traffic,CO,2109.14,1511.14,364814,217284,8112,250048,108926,247,2059.09,92
CAMP-0180,2025-06-30,CromaLab,Facebook,Carrusel,0,Leads,MX,3216.03,3156.29,746485,554270,10367,193659,47865,466,10702.31,80
